ID,Type,Material,Status,Seating,Accessibility,Ownership,Condition,Location,Image,
1,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Fair,Grocery Store,https://i.postimg.cc/xd64bjvh/1.avif,
2,Outdoor Seating,Metal,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/CMzWk86N/2.avif,
3,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/BbLcb4pT/3.avif,
4,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/CK746vdq/4.avif,
5,Bench Canopy,Wood,Permanent,Yes,Gated,Private,Good,Private Business,https://i.postimg.cc/3RbF3dXr/5.avif,
6,Bench Canopy,Wood,Permanent,Yes,Gated,Community-owned,Good,Community Garden,https://i.postimg.cc/bvpTgXYP/6.avif,
7,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/wjdXXp3x/7.avif,
8,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/8k0ZSn4d/8.avif,
9,Canopy,Metal,Permanent,No,Open,City-owned,Good,Public Housing Park,https://i.postimg.cc/gkLNkqtC/9.avif,
10,Bench Canopy,Metal,Permanent,Yes,Open,City-owned,Good,Public Housing Park,https://i.postimg.cc/TwkChk66/10.avif,
11,Bench Canopy,Metal,Permanent,Yes,Open,City-owned,Good,Public Housing Park,https://i.postimg.cc/fLW8wG1C/11.avif,
12,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Grocery Store,https://i.postimg.cc/8k9BCWS6/12.avif,
13,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/bYCBvvyt/13.avif,
14,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/YqTD1ym2/14.avif,
15,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/43VD7RLT/15.avif,
16,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/sDxbPh6m/16.avif,
17,Bench Canopy,Wood,Permanent,Yes,Gated,City-owned,Good,Playground,https://i.postimg.cc/XJwnbCSd/17.avif,
18,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/bv4v8PGc/18.avif,
19,Umbrellas,Synthetic Fabric,Temporary,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/hjxttYxJ/19.avif,
20,Umbrellas,Synthetic Fabric,Temporary,No,Limited to vendor,Private,Good,Street Vendor,https://i.postimg.cc/Hngsct46/20.avif,
21,Exterior Awning,Panaflex,Semi-Permanent,No,Open,Private,Fair,Private Business,https://i.postimg.cc/vm4mpTZt/21.avif,
22,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/Fsv77hTh/22.avif,
23,Bench Canopy,Wood,Permanent,Yes,Open,City-owned,Good,Public Housing Park,https://i.postimg.cc/qRCzCqfv/23.avif,
24,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/Njg9PQXd/24.avif,
25,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/yYh3PDDJ/25.avif,
26,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/PfwwC3hQ/26.avif,
27,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/tJQ7dbyt/27.avif,
28,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/qBSxY6Bj/28.avif,
29,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/3x7m5gsC/29.avif,
30,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/prFjjGHn/30.avif,
31,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/NMLRCBW3/31.avif,
32,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/yxZcBn6n/32.avif,
33,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/tgqFcNhL/33.avif,
34,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/dtCRZ1sS/34.avif,
35,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/PxcZPGBj/35.avif,
36,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/c1rcXBWv/36.avif,
37,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/RZcTy02n/37.avif,
38,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/wB2QxGqq/38.avif,
39,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/xdnP22Sp/39.avif,
40,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/cLqmF3kS/40.avif,
41,Outdoor Seating,Wood,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/k5mTgSWc/41.avif,
42,Bench Canopy,Wood,Permanent,Yes,Open,Private,Good,Senior Citizen Center,https://i.postimg.cc/bN464WJ4/42.avif,
43,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/BnDh3pPb/43.avif,
44,Bench Canopy,Wood,Permanent,Yes,Gated,Community-owned,Good,Community Garden,https://i.postimg.cc/KYDJkYNy/44.avif,
45,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,,
46,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/HnxZCCb1/46.avif,
47,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/D0MCvYcJ/47.avif,
48,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/L657cjVg/48.avif,
49,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/DZ5jDzJc/49.avif,
50,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/7L8WJdrS/50.avif,
51,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/BZMk7m2G/51.avif,
52,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/zBN66Mdq/52.avif,
53,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/XJgmb8hd/53.avif,
54,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/MKG2zCzT/54.avif,
55,Scaffolding,Metal and Fabric,Temporary,No,Open,pp,N/A,Construction Site,https://i.postimg.cc/bNFXrmvR/55.avif,
56,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/6pY0Mj8G/56.png,
57,Outdoor Seating,Wood and Fabric,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/kXNwbX9s/57.png,
58,Umbrellas,Synthetic Fabric,Temporary,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/X76QqyMX/58.png,
59,Umbrellas,Synthetic Fabric,Temporary,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/yxcjn7RV/59.png,
60,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/y6ZL7ybw/60.png,
61,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/1tgJnG5V/61.png,
62,Canopy,Synthetic Fabric,Temporary,No,Open,Private,Good,Street Vendor,https://i.postimg.cc/6QpHwsk0/62.png,
63,Outdoor Seating,Wood,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/L8Tyr4b5/63.png,
64,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/fRZ22S51/64.png,
65,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/BZLVX0X7/65.png,
66,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/Df9YGMGv/66.png,
67,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/x8zx7KwV/67.png,
68,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/7LHR6J2S/68.png,
69,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/sg98s4vV/69.png,
70,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/x1S7w4jx/70.png,
71,Canopy,Synthetic Fabric,Temporary,No,Open,Private,Good,Private Business,https://i.postimg.cc/vHnkSsyx/71.png,
72,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/Rhk1nypj/72.png,
73,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/mZCPLPNd/73.avif,
74,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/gj8X1J4T/74.avif,
75,Outdoor Seating,Wood,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/xCWNsHGm/75.avif,
76,Outdoor Seating,Wood and Fabric,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/bwTbzZ8X/76.avif,
77,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/V65H9y46/77.png,
78,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/vTYRgj90/78.png,
79,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/yNRCw0sy/79.png,
80,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/SNQqJXfm/80.png,
81,Umbrellas,Synthetic Fabric,Temporary,No,Limited to vendor,Private,Fair,Street Vendor,https://i.postimg.cc/858N5ttY/81.png,
82,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/YC9py4vd/82.png,
83,Exterior Awning,Metal,Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/rmSctxHw/83.png,
84,Canopy,Synthetic Fabric,Temporary,No,Open,Private,Fair,Private Business,https://i.postimg.cc/vZdBq8Wj/84.png,
85,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/Rh4m1qrQ/85.png,
86,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/XNmX5kXn/86.png,
87,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/Xv4rJNqF/87.png,
88,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/sDGQH0bB/88.png,
89,Umbrellas,Synthetic Fabric,Temporary,No,Limited to vendor,Private,Fair,Street Vendor,https://i.postimg.cc/T3ryf5df/89.png,
90,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/HWh82CvD/90.png,
91,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/T1FyYr5Y/91.png,
92,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/xCjNsjSY/92.png,
93,Shed,Wood,Permanent,No,Gated,Community-owned,Good,Community Garden,https://i.postimg.cc/BbXL0h6V/93.png,
94,Outdoor Seating,Wood,Permanent,Yes,Paid,Private,Good,Restaurant/Café,https://i.postimg.cc/YSHWWfnv/94.png,
95,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/vmt6Lgk3/95.png,
96,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/xTXMDdN1/96.png,
97,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/0jQmNktZ/97.png,
98,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/NMbmY9x5/98.png,
99,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/CL2Cz8p8/99.png,
100,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/zBqK9SKs/100.png,
101,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/jqZ4Y98Z/101.png,
102,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/76NM6QqP/102.png,
103,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/kG1QN6Vk/103.png,
104,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/Jzyqqq5K/104.png,
105,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/85GmTVQn/105.png,
106,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/nrcKQYL4/106.png,
107,Canopy,Synthetic Fabric,Temporary,Yes,Open,Private,Poor,Street Vendor,https://i.postimg.cc/TYN0gSgp/107.png,
108,Umbrellas,Synthetic Fabric,Temporary,No,Limited to vendor,Private,Fair,Street Vendor,https://i.postimg.cc/GtqQMgfg/108.png,
109,Umbrellas,Synthetic Fabric,Temporary,No,Limited to vendor,Private,Fair,Street Vendor,https://i.postimg.cc/Kv8QKFK6/109.png,
110,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Good,Private Business,https://i.postimg.cc/tTdD64Nj/110.png,
111,Bus Shelter,Glass,Permanent,Yes,Open,City-owned,Good,Bus Stop,https://i.postimg.cc/hjRphdxs/111.png,
112,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/nLD3HksM/112.png,
113,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/c1M5gXFn/113.png,
114,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/GhX7z9w3/114.png,
115,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/ZncfG5Wc/115.png,
116,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/CK36Dtyj/116.png,
117,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/W14KPg6J/117.png,
118,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/4xF04yB2/118.png,
119,Scaffolding,Metal and Fabric,Temporary,No,Open,Private,N/A,Construction Site,https://i.postimg.cc/HLchrmNY/119.png,
120,Exterior Awning,Synthetic Fabric,Semi-Permanent,No,Open,Private,Fair,Private Business,https://i.postimg.cc/8cB3Tb0L/120.png,